patient_id,shared_0,shared_1,shared_2,shared_3,shared_4,shared_5,shared_6,shared_7,shared_8,shared_9,shared_10,shared_11,shared_12,shared_13,shared_14,shared_15,shared_16,shared_17,shared_18,shared_19,shared_20,shared_21,shared_22,shared_23,shared_24,shared_25,shared_26,shared_27,shared_28,shared_29,shared_30,shared_31,shared_32,shared_33,shared_34,shared_35,shared_36,shared_37,shared_38,shared_39,shared_40,shared_41,shared_42,shared_43,shared_44,shared_45,shared_46,shared_47,shared_48,shared_49,shared_50,shared_51,shared_52,shared_53,shared_54,shared_55,shared_56,shared_57,shared_58,shared_59,shared_60,shared_61,shared_62,shared_63
TCGA-A6-2679,0.62972057,0.000121875666,-0.020234192,-0.0035982174,-0.016995985,-0.02038952,-0.017134745,0.006816269,-0.01546255,0.974122,-0.0077661453,-0.025847051,0.18718745,-0.013820726,0.08595726,-0.015486298,-0.019519698,-0.017845882,-0.021076567,-0.017397832,0.83049226,-0.016445786,-0.018823445,-0.025049046,-0.00875788,0.10349784,-0.030831862,-0.012892999,-0.02528321,0.5039243,-0.03333424,-0.026066117,-0.019892609,0.055507634,-0.030456426,-0.0135224415,0.2739278,0.0028984686,-0.021434888,-0.019059453,1.0868003,-0.01213288,0.0015902421,0.016416978,-0.024337877,-0.016791074,-0.017518852,-0.009249377,-0.011384675,0.008055955,-0.0144814085,-0.02533818,-0.023115573,-0.02115351,-0.010578716,-0.031113539,-0.011194093,-0.021078626,-0.0081234975,-0.021870835,-0.009379852,0.036841974,0.67004037,-0.029814292
TCGA-A6-2680,0.8952139,-0.0063015865,-0.02659793,-0.0230201,-0.02510729,0.02445437,-0.009200808,-0.023946438,-0.024917811,1.4349544,-0.023074275,8.318992e-05,0.2366117,-0.024961356,0.042951025,-0.022198234,-0.02400612,-0.0044066394,0.011785537,-0.022608543,1.0720944,-0.016818533,-0.027395727,-0.025159903,-0.023788862,0.21016122,-0.012371412,0.052585468,-0.019574512,0.50812995,-0.03315915,-0.015665205,-0.03586047,0.0719416,-0.042646714,-0.019611418,0.4217732,-0.021901596,-0.028455792,-0.01684093,1.3075784,-0.024354352,-0.012766261,-0.022071801,-0.044657,-0.026359782,-0.012135645,-0.015873732,-0.006730333,0.0075180368,0.082840584,-0.022743702,-0.028930042,-0.016856078,-0.009025343,-0.030514222,0.008483684,-0.022831626,0.013628765,-0.009821164,-0.02427353,0.051359627,0.7864198,-0.029337905
TCGA-A6-2681,0.6437843,-0.009997551,-0.014531381,-0.0077904835,-0.007862307,0.012060097,-0.00566151,-0.00024133292,-0.0066789435,0.94913965,0.016090445,-0.016384007,0.18975842,-0.014033828,0.0703686,-0.019081585,-0.0072634527,0.011329346,-0.019523788,-0.011805228,0.83303195,-0.022313097,-0.019491358,-0.014949873,-0.011368008,0.07068463,-0.021494318,-0.016001068,-0.0121999495,0.5053833,-0.021082371,-0.022666547,-0.027036142,0.006073838,-0.020333039,0.015043799,0.3216125,-0.013992228,-0.026207618,-0.01703133,1.013633,-0.01579702,-0.011067284,0.0008350925,-0.029738015,-0.017001702,-0.009309049,-0.013171855,-0.013724368,-0.007308998,-0.0030736348,-0.024183277,-0.014764424,-0.011236718,-0.0066840816,-0.019676413,-0.0036640875,-0.02541344,-0.0057655247,-0.009466842,-0.0032121772,0.025862267,0.6855074,-0.023529142
TCGA-A6-2682,0.66934454,0.07477704,-0.009982159,-0.025336202,-0.011590131,-0.023340533,-0.011725735,-0.018217009,-0.020428969,1.0855802,-0.019444164,-0.016072733,0.33228904,-0.012286049,0.07071635,-0.021974977,-0.006210599,0.003132795,-0.02760054,-0.019725205,0.83522683,-0.012221811,-0.012670891,-0.024870383,-0.0033866982,0.11233984,-0.019937672,-0.017735034,-0.009941777,0.5260241,-0.030367281,-0.013845046,-0.02435056,-0.010279798,-0.026468553,-0.008146652,0.4619152,-0.017912928,-0.022693759,-0.020873647,1.1764586,-0.02087023,-0.013508945,0.016308572,-0.025104398,-0.016417392,-0.013372129,-0.010731094,0.0014320486,-0.0053706,-0.00863653,-0.021251569,-0.022729984,-0.0014497004,-0.018002834,-0.026386645,-0.012024031,-0.014129721,0.028454611,-0.014165891,-0.007723497,0.054920875,0.6885598,-0.022847712
TCGA-A6-2684,0.68771267,-0.02353008,-0.017903708,-0.018853083,-0.011085135,-0.015845284,-0.017572261,-0.012250012,-0.019718619,1.1673975,0.0014933115,-0.016434032,0.25526068,-0.010889648,0.026491413,-0.024158675,-0.015483756,-0.010916099,-0.019953221,-0.019721832,1.0568584,-0.0130012715,-0.012211939,-0.02704744,-0.021791039,0.12182029,-0.024569664,0.010413761,-0.008323021,0.45915914,-0.024494318,-0.014694137,-0.017865492,0.010213753,-0.033617124,-0.025759963,0.44183958,-0.019915901,-0.028913584,0.0058774957,1.3193152,-0.020082675,-0.02113638,-0.01114007,-0.027861971,-0.024124911,-0.019822493,-0.012867302,0.02402288,0.06586691,0.06512836,-0.03564219,-0.037165917,-0.014351355,-0.022712167,-0.038085576,-0.022047605,-0.023897585,0.028320303,-0.014167967,-0.017069452,0.022754263,0.864244,-0.024106402
TCGA-A6-2685,0.70164335,-0.017021466,-0.014530174,-0.0114066275,-0.011048618,-0.009052989,-0.011016987,-0.011491088,-0.016130546,1.0607088,-0.030526994,-0.01607848,0.28430495,-0.018956738,0.037144978,-0.012714617,-0.007871848,0.08481803,-0.022742543,-0.015764296,0.88667506,-0.01317893,-0.0057273675,-0.020541128,-0.018418528,0.104568504,-0.02200109,0.014857901,-0.016328711,0.4514267,-0.023286551,-0.015563883,-0.02585769,-0.0167214,0.0003375765,-0.010487502,0.27417362,-0.016296363,-0.002134719,0.0010928398,1.1544389,-0.016282711,-0.013293885,-0.015102876,-0.027714567,-0.013677779,-0.015633807,-0.009505642,-0.014064806,0.035616774,0.07349468,-0.024348924,-0.012125844,-0.01600546,-0.015967658,-0.031367708,-0.012547089,-0.014327027,0.044378415,-0.01602329,-0.016261999,0.058435373,0.7421979,-0.02132259
TCGA-A6-2686,0.7805195,-0.015854254,-0.014533695,-0.02787759,-0.0222694,-0.03277892,-0.014236907,-0.01878367,-0.025375642,1.2083797,-0.017353874,-0.026748292,0.3577454,-0.023618452,0.115266606,-0.02369387,-0.012144703,-0.02079255,-0.037957013,-0.024237389,1.0122312,-0.016736727,-0.025587765,-0.0195932,-0.018449623,0.045837715,0.0131139355,-0.01625209,-0.01875686,0.5786502,-0.027761238,-0.033212118,-0.03218702,-0.027327955,0.010619152,-0.009131745,0.50022995,-0.018461347,-0.035253778,-0.012600447,1.2062672,-0.024757657,-0.013215296,0.005407324,-0.028265359,-0.027000044,-0.028182805,-0.017867342,-0.0131526105,0.0148072,-0.018861894,-0.046663962,-0.039587907,-0.02639004,-0.03454472,-0.03938309,-0.031261016,-0.025662607,0.013580492,-0.016923435,-0.025657801,0.028621543,0.8017919,-0.03829201
TCGA-A6-3809,0.68108094,0.00168241,-0.020517822,0.01871688,-0.026385505,-0.015167912,-0.007533457,-0.017058115,-0.02118012,1.2243192,-0.017816754,-0.02234999,0.32769492,0.0052309264,0.038826253,-0.03582555,-0.019691553,-0.010906406,-0.032104895,-0.020106276,1.0375979,0.00500442,-0.017586559,-0.027424373,-0.027787728,0.049405288,-0.029381959,0.043266106,0.0076524294,0.52902126,-0.01956657,-0.027596025,-0.032201044,0.06632647,-0.037116848,-0.010805834,0.39948887,-0.027572783,-0.02545635,-0.017656004,1.2300651,-0.012591135,-0.01615026,0.02997368,-0.043305308,-0.018416377,-0.014308444,-0.01453372,0.0017190743,-0.009244715,-0.0146998875,-0.053186953,-0.02690132,-0.019617915,-0.02794145,-0.050062492,-0.02878349,-0.03141283,0.08394141,-0.011233404,-0.024362441,0.06329322,0.8426169,-0.03179956
TCGA-A6-3810,0.7593154,0.016818713,-0.02184385,-0.0076407413,-0.023190811,-0.03421838,-0.015460258,0.0069470163,-0.014560658,1.2290475,-0.018590411,-0.010820361,0.41210246,-0.018152375,0.01812708,-0.015126975,-0.019382793,0.023165785,-0.047125995,-0.02057277,1.0257459,0.012730086,-0.011581361,-0.032114066,-0.013897931,0.16294679,-0.021949872,-0.021160772,-0.021065267,0.59113103,-0.011127269,-0.01701139,-0.033028957,-0.023455512,-0.02558974,-0.031905808,0.519289,-0.022035312,-0.005537443,-0.020298665,1.3158867,-0.021483075,-0.027714517,0.043920416,-0.01816465,-0.018100018,-0.024770156,-0.0135055,-0.009572368,0.010341549,0.02091883,-0.042448,-0.031104986,-0.021207115,-0.026053611,-0.039561197,-0.019812675,0.06787421,0.06684911,-0.014021203,0.0040779933,0.10401705,0.9193418,-0.013722101
TCGA-A6-4105,0.7158828,-0.016076513,-0.012099135,-0.012922958,-0.0071395165,-0.021826658,-0.017340584,-0.013280832,-0.019883167,1.2218153,-0.010349382,-0.014398444,0.33831203,-0.012448004,0.02993046,-0.029084554,-0.014859848,-0.01232381,-0.028877415,-0.023472764,1.057873,-0.015572254,-0.02342328,-0.0225941,-0.018712748,0.12210376,-0.01744201,-0.01487729,-0.019278347,0.51854175,-0.03210835,-0.033407968,-0.025618814,0.02078697,-0.024739726,-0.012637064,0.44390512,-0.021826623,-0.027367529,-0.017504532,1.1881132,-0.018913232,-0.01981545,-0.012147613,-0.031862892,-0.026165709,-0.026572403,-0.012566355,-0.013605705,0.0031792189,-0.0063192006,-0.036630046,-0.033188324,-0.018193018,-0.008847983,-0.048492987,-0.019967338,-0.019116558,0.015260284,-0.0024748114,-0.008515634,0.020906184,0.75627637,-0.029389117
