patient_id,shared_0,shared_1,shared_2,shared_3,shared_4,shared_5,shared_6,shared_7,shared_8,shared_9,shared_10,shared_11,shared_12,shared_13,shared_14,shared_15,shared_16,shared_17,shared_18,shared_19,shared_20,shared_21,shared_22,shared_23,shared_24,shared_25,shared_26,shared_27,shared_28,shared_29,shared_30,shared_31,shared_32,shared_33,shared_34,shared_35,shared_36,shared_37,shared_38,shared_39,shared_40,shared_41,shared_42,shared_43,shared_44,shared_45,shared_46,shared_47,shared_48,shared_49,shared_50,shared_51,shared_52,shared_53,shared_54,shared_55,shared_56,shared_57,shared_58,shared_59,shared_60,shared_61,shared_62,shared_63
TCGA-A1-A0SF,-0.010696302,-0.037738074,-0.035503678,0.08563748,-0.038688987,-0.021739125,-0.026182614,-0.026036743,-0.05670111,0.12741143,-0.021705069,-0.015392745,-0.0216958,-0.04098671,-0.019484822,-0.029499,-0.05306591,0.22753458,-0.025471801,-0.0126134,-0.023883514,-0.02206824,-0.018608961,-0.021597913,0.041992933,-0.007418459,-0.032828216,-0.04263097,-0.006438715,-0.015369678,-0.047581233,-0.020853218,-0.046661407,-0.00538175,0.082217276,0.04557111,-0.02909178,-0.041727353,-0.011770384,0.011938475,0.00786298,0.041775882,0.1693213,-0.023200609,0.10855902,-0.047928657,0.18774195,-0.038914546,-0.033393636,0.16467622,-0.036761276,-0.00088111614,-0.041700482,-0.02079818,-0.023294471,0.018439522,-0.019415893,0.2676188,0.019107338,-0.035058327,-0.027637709,-0.024517778,-0.01818638,-0.0051043653
TCGA-A1-A0SG,0.019017968,-0.046202235,-0.038984433,0.076506875,-0.045443565,-0.025548749,-0.014266448,-0.035378918,-0.05995254,0.091064304,-0.025029618,-0.0053736703,-0.017329166,-0.028015044,-0.022398148,-0.031872977,-0.05432966,0.2051306,-0.021447614,-0.011219826,-0.031694487,-0.016048945,-0.016701803,-0.018096209,0.04692433,0.009865637,-0.03749059,-0.03390278,-0.0128841745,-0.03336986,-0.06691312,-0.030088356,-0.0580381,-0.0043039797,0.13324487,0.03435123,-0.032441016,-0.05783517,-0.023245934,-0.017323406,-0.008190532,0.11301105,0.22234368,-0.017441422,0.131464,-0.06498109,0.2349369,-0.048184253,-0.028887715,0.05382802,-0.030384855,-0.0051457435,-0.045870684,-0.013066535,-0.01909338,0.082672946,-0.035469487,0.16075686,0.0107518975,-0.0135269975,-0.024920242,-0.025245422,-0.022846933,-0.032098085
TCGA-A1-A0SH,-0.00823404,-0.028163929,-0.034307607,0.08625379,-0.031978905,-0.03468053,-0.020802429,-0.024721019,-0.04898502,0.1214217,-0.014618136,0.008303858,-0.021894976,-0.040240742,-0.010690718,-0.028802715,-0.046127006,0.16505174,-0.026894983,-0.010239024,-0.021874774,-0.024367139,-0.011966687,-0.0328087,0.084141195,-0.009446989,-0.025016963,-0.032179408,-0.014718723,-0.019097427,-0.039239585,-0.02409289,-0.048482426,0.00020704043,0.09644942,0.059971943,-0.017448971,-0.041752886,-0.023972487,-0.0134286275,-0.007436549,0.062966675,0.18668178,-0.016609404,0.10794253,-0.04789833,0.19629875,-0.034427904,-0.032201987,0.17229831,-0.03844381,-0.0011110082,-0.038132284,-0.018718576,-0.015360719,0.08077842,-0.02425336,0.24391079,0.040178224,-0.021246152,-0.014865492,-0.031932697,-0.02451998,-0.011630781
TCGA-A1-A0SI,-0.009860216,-0.028435614,-0.03143544,0.054593444,-0.01723497,-0.018840667,-0.017791051,-0.030240778,-0.05730314,0.066339016,-0.02760198,-0.005887376,-0.03240858,-0.032778256,-0.019934375,-0.02936282,-0.06682435,0.207574,-0.028599482,-0.0042116083,-0.021260452,-0.016201599,-0.018315244,-0.025652457,0.030412883,-0.007336065,-0.031596348,-0.03420381,-0.015356318,-0.018391784,-0.048076168,-0.030157622,-0.047648653,0.0070354375,0.09577839,0.044765323,-0.015793253,-0.043220032,-0.019794494,-0.0016480049,-0.0043942914,0.026574392,0.18621814,-0.012515355,0.09214688,-0.042598538,0.19183055,-0.03549409,-0.02148394,0.1398566,-0.0334098,-0.00509753,-0.03653381,-0.019409401,-0.0171326,0.10844418,-0.025560461,0.2654267,-0.0023940576,-0.026658788,-0.03068107,-0.0312803,-0.020677023,-0.018516686
TCGA-A1-A0SJ,-0.0125372745,-0.048477475,-0.051966973,0.10129805,-0.035596706,-0.044470053,-0.026593711,-0.031160355,-0.076058194,0.18819427,-0.041010834,-0.0064739655,-0.04271595,-0.046654195,-0.032585848,-0.030249309,-0.06266026,0.16748297,-0.04043541,-0.018873842,-0.015994474,-0.02367642,-0.015928593,-0.037572876,0.0007491728,-0.014034718,-0.036340095,-0.03567265,-0.004523782,-0.030341819,-0.07388967,-0.047232542,-0.05240033,0.020774331,0.07501486,0.08859791,-0.023883991,-0.061109997,-0.030389495,-0.035820767,-0.006290891,0.10349021,0.24418652,-0.021580912,0.106418505,-0.0642887,0.24251433,-0.044899754,-0.038935553,0.13035369,-0.051230177,-0.0062307883,-0.050189443,-0.0356123,-0.018022548,0.08526709,-0.041173156,0.015289331,0.010173579,-0.026586419,-0.024275715,-0.042992126,-0.038013972,-0.02722061
TCGA-A1-A0SK,-0.026521336,-0.09480167,-0.03563921,0.053481083,-0.05820161,-0.022946708,-0.055704102,-0.030128557,-0.0746055,0.12528503,-0.07246914,-0.038765475,-0.09815797,-0.05784527,-0.051327813,-0.0633885,-0.063534796,0.34482187,-0.043136206,-0.038812373,-0.03170027,0.017859295,-0.030011382,-0.011862095,-0.01908048,0.098612286,-0.05256769,-0.0706656,-0.04210192,-0.0398329,-0.07815485,-0.07302663,-0.10174857,0.02414352,-0.025370477,-0.003782431,-0.03065904,-0.1193736,-0.039196804,-0.0894106,-0.021204108,-0.0067307493,0.2196761,-0.01195677,0.252676,-0.055088334,0.13738722,-0.07145424,-0.03429611,0.11740522,-0.015430876,0.19249171,-0.053308256,-0.029066306,-0.059403744,0.0069395164,-0.08249753,-0.039742813,-0.01008184,-0.014740984,-0.048217528,-0.019044349,-0.059292212,-0.07336756
TCGA-A1-A0SM,-0.013333113,-0.029261587,-0.04281461,0.07290174,-0.037833918,-0.033452958,-0.023708794,-0.022699278,-0.050449286,0.06427182,-0.029821342,-0.0014960403,-0.018744309,-0.052739702,-0.027914774,-0.033480912,-0.03123314,0.15116873,-0.03626199,-0.014655303,-0.032934837,-0.015330257,-0.022905573,-0.028313074,0.06079883,-0.002415109,-0.04320567,-0.042165074,-0.020805217,-0.026111512,-0.047813058,-0.0379263,-0.048271175,0.018550953,0.07427572,0.07857072,-0.021901628,-0.05019728,-0.025368346,-0.010062426,-0.012319125,0.08182126,0.22545691,-0.023765856,0.1145418,-0.05157876,0.20821011,-0.04318603,-0.037991438,0.10117039,-0.04027892,0.00986104,-0.045633074,-0.027458277,-0.0141485855,0.07356019,-0.01691354,0.1030076,-0.0014259369,-0.014802362,-0.01301043,-0.028433755,-0.043427534,-0.022790756
TCGA-A1-A0SN,-0.011646775,-0.03591296,-0.048803583,0.0937255,-0.03213492,-0.02984915,-0.015939455,-0.02082237,-0.052774638,0.14535922,-0.039528772,-0.016601332,-0.029319817,-0.04920774,-0.025736418,-0.028524542,-0.062109206,0.21946032,-0.027734173,-0.008591032,-0.023956232,-0.022586048,-0.013681641,-0.026793746,0.030641433,-0.0069168583,-0.025024738,-0.036355346,-0.0102873435,-0.024503842,-0.058835454,-0.033253647,-0.055380493,0.007795744,0.04581963,0.028261002,-0.025325602,-0.05792255,-0.028218113,-0.0148621835,0.0017103528,0.08422297,0.18851063,-0.013486831,0.14357366,-0.054918014,0.18249618,-0.039647713,-0.027412534,0.17823833,-0.046330966,0.008737615,-0.048015535,-0.029668624,-0.013011521,0.026600208,-0.029880002,0.178568,0.026830517,-0.022681935,-0.03511194,-0.04446531,-0.03642334,-0.03002704
TCGA-A1-A0SO,-0.033930972,-0.0718115,-0.034408137,0.07264559,-0.02660079,-0.032379422,-0.050540976,-0.024673115,-0.046252474,0.22869578,-0.066375814,-0.022412615,-0.08026632,-0.09574135,-0.044160284,-0.050676398,-0.04319214,0.13696615,-0.051146775,-0.035697192,-0.04998135,-0.04021339,-0.02431842,-0.0367423,-0.0032070866,-0.008076685,-0.042585764,-0.07025927,-0.025461696,-0.057300054,-0.0651473,-0.06018299,-0.0758828,-0.011610619,-0.031658866,-0.005859744,-0.02584036,-0.10147423,-0.038037416,-0.06842395,-0.015800983,0.0023920713,0.4033721,-0.021087784,0.15773915,-0.06533322,0.112167954,-0.055871204,-0.037395105,0.12855731,-0.01956498,0.088453606,-0.04093839,-0.047429923,-0.040668383,0.0702418,-0.075488046,0.014925541,-0.003228981,-0.01847188,-0.06317004,-0.021791343,-0.06939943,-0.07758934
TCGA-A1-A0SP,-0.023247141,-0.049379237,-0.019629687,0.10899108,-0.019147664,-0.028937623,-0.037318345,-0.024644237,-0.057614565,0.23897146,-0.057368882,-0.00790666,-0.045091573,-0.06367334,-0.0345829,-0.045019776,-0.047041766,0.19368392,-0.043239027,-0.024392536,-0.029679183,-0.021491118,-0.008076353,-0.032946862,0.074554116,-0.0028491952,-0.03986765,-0.04669082,-0.032349434,-0.031175347,-0.054132752,-0.054223217,-0.06911859,-0.006628384,-0.009114989,0.06663453,-0.0228775,-0.08788389,-0.032353364,-0.03608046,-0.0054989406,0.00012220931,0.2427424,-0.012725384,0.112304255,-0.05824639,0.19497322,-0.05194246,-0.032012522,0.16530852,-0.039872307,0.031121714,-0.052800164,-0.030847037,-0.04707528,0.06575346,-0.053518727,0.054723572,0.02510816,-0.0155858435,-0.049771756,-0.032388672,-0.03700199,-0.061993554
